Fiche technique,Famille,Sous famille
ANDOUILLE BRETAGNE,01-ENTREES FROIDES,CHARCUTERIE
ANDOUILLE DE BRETAGNE,01-ENTREES FROIDES,CHARCUTERIE
ASPIC AUX LEGUMES,01-ENTREES FROIDES,CHARCUTERIE
ASPIC OEUFS/JAMBON,01-ENTREES FROIDES,CHARCUTERIE
CERVELAS,01-ENTREES FROIDES,CHARCUTERIE
CERVELAS VINAIGRETTE,01-ENTREES FROIDES,CHARCUTERIE
CORNET MACÉDOINE JAMBON,01-ENTREES FROIDES,CHARCUTERIE
DUO/JAMBON,01-ENTREES FROIDES,CHARCUTERIE
FOIE GRAS TRANCHE/2023,01-ENTREES FROIDES,CHARCUTERIE
GRATONS,01-ENTREES FROIDES,CHARCUTERIE
GRATONS.,01-ENTREES FROIDES,CHARCUTERIE
JAMBON À LA BETTERAVE,01-ENTREES FROIDES,CHARCUTERIE
JAMBON BLANC,01-ENTREES FROIDES,CHARCUTERIE
JAMBON CRU,01-ENTREES FROIDES,CHARCUTERIE
JAMBON CRU*/ PDS,01-ENTREES FROIDES,CHARCUTERIE
JAMBON DE DINDE,01-ENTREES FROIDES,CHARCUTERIE
MORTADELLE,01-ENTREES FROIDES,CHARCUTERIE
MUSEAU DE BOEUF/ HC,01-ENTREES FROIDES,CHARCUTERIE
PATE CROUTE,01-ENTREES FROIDES,CHARCUTERIE
PATE CROUTE D'OIE /NOEL 2024,01-ENTREES FROIDES,CHARCUTERIE
PATE CROUTE RICHELIEU,01-ENTREES FROIDES,CHARCUTERIE
PATE DE CAMPAGNE,01-ENTREES FROIDES,CHARCUTERIE
PAVE AU POIVRE,01-ENTREES FROIDES,CHARCUTERIE
PIEDS DE VEAU */HC,01-ENTREES FROIDES,CHARCUTERIE
ROSETTE,01-ENTREES FROIDES,CHARCUTERIE
ROTI DE DINDE/MAYONNAISE,01-ENTREES FROIDES,CHARCUTERIE
ROULEAU/PRINTEMPS POULET,01-ENTREES FROIDES,CHARCUTERIE
SALADE LAOTIENNE,01-ENTREES FROIDES,CHARCUTERIE
SALAMI,01-ENTREES FROIDES,CHARCUTERIE
SAUCISSON A L'AIL,01-ENTREES FROIDES,CHARCUTERIE
SAUCISSON SEC,01-ENTREES FROIDES,CHARCUTERIE
TERRINE DE LAPIN,01-ENTREES FROIDES,CHARCUTERIE
ASSIETTE DE GUACAMOLE,01-ENTREES FROIDES,CRUDITES
AVOCAT A LA RUSSE,01-ENTREES FROIDES,CRUDITES
AVOCAT AU THON,01-ENTREES FROIDES,CRUDITES
AVOCAT AUX CREVETTES,01-ENTREES FROIDES,CRUDITES
AVOCAT MAYONNAISE,01-ENTREES FROIDES,CRUDITES
AVOCAT/PASTEQUE,01-ENTREES FROIDES,CRUDITES
BETTERAVES ROUGES/CELERI,01-ENTREES FROIDES,CRUDITES
CAROTTE ET AUBERGINE A L'INDIENNE,01-ENTREES FROIDES,CRUDITES
CAROTTE RAPEE A L'ORANGE,01-ENTREES FROIDES,CRUDITES
CAROTTE RAPEE NATURE,01-ENTREES FROIDES,CRUDITES
CAROTTE RAPEE THAILANDAISE,01-ENTREES FROIDES,CRUDITES
CAROTTE RAPEE/OEUF,01-ENTREES FROIDES,CRUDITES
CAROTTE RAPEE/OEUFS DURS,01-ENTREES FROIDES,CRUDITES
CAROTTE/CHOU BLANC,01-ENTREES FROIDES,CRUDITES
CELERI RAPE A L'ORANGE,01-ENTREES FROIDES,CRUDITES
CELERI REMOULADE/SURIMI,01-ENTREES FROIDES,CRUDITES
CELERI/CAROTTE REMOULADE,01-ENTREES FROIDES,CRUDITES
CHX  BLANC RAPE MARINE FRAIS,01-ENTREES FROIDES,CRUDITES
CHX  ROUGE RAPE RAISIN/NOISETTE,01-ENTREES FROIDES,CRUDITES
CHX BLANC RAPE MARINE,01-ENTREES FROIDES,CRUDITES
CHX BLANC RAPE VINAIGRETTE,01-ENTREES FROIDES,CRUDITES
COEUR/PALMIER AUX MAIS,01-ENTREES FROIDES,CRUDITES
COLESLAW FARITAS,01-ENTREES FROIDES,CRUDITES
COLESLAW VACHE QUI RIT,01-ENTREES FROIDES,CRUDITES
CONCOMBRE A LA CREME,01-ENTREES FROIDES,CRUDITES
CONCOMBRE A LA MENTHE,01-ENTREES FROIDES,CRUDITES
CONCOMBRE AUX TOMATES,01-ENTREES FROIDES,CRUDITES
CONCOMBRE ET POIVRON,01-ENTREES FROIDES,CRUDITES
CONCOMBRE THAI COCO,01-ENTREES FROIDES,CRUDITES
CONCOMBRE TZATZIKI,01-ENTREES FROIDES,CRUDITES
CONCOMBRE/PAMPLEMOUSSE ROSE,01-ENTREES FROIDES,CRUDITES
CONCOMBRE/TOMATE EPICEE,01-ENTREES FROIDES,CRUDITES
COURGETTE AUX EPICES,01-ENTREES FROIDES,CRUDITES
DUO/TAPENADE,01-ENTREES FROIDES,CRUDITES
FELFA MECHOUIA,01-ENTREES FROIDES,CRUDITES
GASPACHO CONCOMBRE/MENTHE,01-ENTREES FROIDES,CRUDITES
GASPACHO DE COURGETTES/CONCOMBRE */,01-ENTREES FROIDES,CRUDITES
GASPACHO DE MAIS,01-ENTREES FROIDES,CRUDITES
GASPACHO DE TOMATES  PDS,01-ENTREES FROIDES,CRUDITES
GASPACHO MELON/ABRICOT/TOMATE,01-ENTREES FROIDES,CRUDITES
GASPACHO MELON/POIVRONS JAUNE,01-ENTREES FROIDES,CRUDITES
GUACAMOLE/TOMATE,01-ENTREES FROIDES,CRUDITES
HARICOTS VERTS AUX TOMATES,01-ENTREES FROIDES,CRUDITES
MAKI CONCOMBRE CAROTTE OMELETTE */ (REPAS ASIATIQUE),01-ENTREES FROIDES,CRUDITES
MELON A L'ITALIENNE,01-ENTREES FROIDES,CRUDITES
MELON CANARI */ HO,01-ENTREES FROIDES,CRUDITES
MELON NATURE  HO,01-ENTREES FROIDES,CRUDITES
MELON VERT */ HO,01-ENTREES FROIDES,CRUDITES
MELON/PASTÈQUE  HO,01-ENTREES FROIDES,CRUDITES
PAMPLEMOUSSE ROSE,01-ENTREES FROIDES,CRUDITES
PAMPLEMOUSSE/BIGAREAUX,01-ENTREES FROIDES,CRUDITES
PASTEQUE NATURE HO,01-ENTREES FROIDES,CRUDITES
RADIS AU BEURRE,01-ENTREES FROIDES,CRUDITES
